year,sector,sub_sector,total_emp,msme_emp
2015,agriculture,agriculture,1876,652
2015,mining and quarrying,mining and quarrying,79,21
2015,manufacturing,manufacturing,2379,1071
2015,manufacturing,"petroleum, chemical, rubber and plastic products",377,180
2015,manufacturing,"food, beverages and tobacco",401,192
2015,manufacturing,"non-metallic mineral products, basic metal and fabricated metal products",327,199
2015,manufacturing,other manufacturing,1274,500
2015,construction,construction,1517,694
2015,services,services,8141,4089
2015,services,"wholesale & retail trade, food & beverage and accommodation ",3442,2693
2015,services,"finance, insurance, real estate and business services",1331,656
2015,services,transportation & storage and information & communication,696,358
2015,services,other services,2671,382
